番号,Ap. 語形,Ap. アクセント,意味,脚韻開始一致率,内訳,全体,逸脱,Ved. のアクセント,,
755,jaṇaa-,jáṇaa-,ジャナカ王,100.000%,4,4,0,janaka-,,
756,jaṇaṇa-,jaṇáṇa-,誕生,66.667%,4,6,0,janana-,,
757,jaṇaddaṇa-,jaṇaddaṇa-,人々を興奮させる,55.000%,11,20,1,janārdana-,,
758,jaṇa-,jáṇa-,人,97.778%,44,45,1,jána-,,
759,jaṇia-,jáṇia- / jaṇía-,生まれた,50.000%,1,2,,janita-,,
760,jaṇi-,jáṇi-,女性,100.000%,2,2,0,jáni-,,
761,jaṇera-,jaṇéra-,父親,100.000%,12,12,0,janayitṛ-,,
762,jaṇeri-,jaṇéri-,母親,100.000%,3,3,0,janayitrī-,,
763,janta-,jánta-,乗り物、機械,100.000%,4,4,0,yantra-,,
764,janta-,jánta-,行きつつある,82.143%,23,28,5,yā́nt-,,
765,jamaghaṇṭā-,jamaghaṇṭā́-,ヤマガンター,100.000%,2,2,0,yamaghaṇṭa-,,
766,jamattaṇa-,jamattáṇa-,ヤマであること,66.667%,2,3,0,,,
767,jamarāa-,jamarā́a-,ヤマの王,80.000%,4,5,0,yamarājan-,,
768,jamarāṇa-,jamarā́ṇa-,ヤマの王,100.000%,2,2,0,yamarājan-,,
769,jamāṇaṇa-,jamā́ṇaṇa-,ヤマの顔,100.000%,2,2,0,,,
770,jampaṇa-,jampáṇa-,言うこと、口,100.000%,2,2,0,jalpana-,,
771,jampa-,jampá-,言う,100.000%,6,6,0,jálpa-,,
772,jampia-,jampía-,言われた,50.000%,4,8,1,jalpita-,,
773,jammaṇa-,jammáṇa- / jammaṇá-,誕生,50.000%,1,2,,jánman-,,
774,jamma-,jámma-,誕生,100.000%,6,6,0,jánman-,,
775,jamvavanta-,jamvavánta-,ジャーンバヴァット,75.000%,3,4,1,jāmbavant-,,
776,jamvava-,jamváva-,ジャーンバヴァット,100.000%,4,4,0,jāmbavant-,,
777,jamvuṇṇaa-,jamvúṇṇaa-,ジャンブーナダ,100.000%,3,3,0,jambūnada-,,
778,jamvumāli-,jamvumā́li-,ジャンブマーリン,100.000%,3,3,0,jambumālin-,,
779,jalaara-,jalaára-,水生生物,66.667%,4,6,1,jalacara-,,
780,jaladhāra-,jaladhā́ra-,ジャラダーラ山,100.000%,2,2,0,jaladhāra-,,
781,jalanta-,jalánta-,輝く,100.000%,2,2,0,jválant-,,
782,jalapavāha-,jalapavā́ha-,水流,100.000%,2,2,0,,,
783,jalahara-,jalahára-,雲,77.778%,7,9,0,jaladhara-,,
784,jala-,jála-,水,95.833%,23,24,1,jalá-,,
785,jalia-,jália-,輝く,80.000%,4,5,1,jvalita-,,
786,jalollia-,jalollía-,水に濡れた,66.667%,2,3,0,,,
787,jasavanta-,jasavánta-,栄光ある,100.000%,3,3,0,yaśovant-,,
788,jasa-,jása-,栄光,100.000%,3,3,0,yáśas-,,
789,jasāara-,jasā́ara-,名声をもたらす,100.000%,2,2,0,yaśaskara-,,
790,jasāhiva-,jasā́hiva-,名声の王,66.667%,2,3,1,,,
791,jahĩ,jáhĩ,〜のところで,100.000%,22,22,0,,,
792,ja-,já-,行く,100.000%,3,3,0,yā́-,,
793,jāa-,jā́a-,生まれた、なった,100.000%,62,62,0,jātá-,,
794,jāivi,jā́ivi,行ってから,100.000%,2,2,0,,,
795,jāĩ,jā́ĩ,〜のものども,100.000%,5,5,0,yā́ni,,
796,jāi-,jāí-,生まれ、身分,50.000%,1,2,1,jāti-,,
797,jāīsara-,jāīsára-,生類の主,100.000%,2,2,0,,,
798,jāeva-,jāéva-,行かれるべき,100.000%,3,3,0,,,
799,jāṇaī-,jā́ṇaī-,ジャーナキー（シーター）,100.000%,14,14,0,jānakī-,,
800,jāṇanta-,jā́ṇanta- / jāṇánta-,知りつつある,50.000%,1,2,,jānánt-,,
801,jāṇa-,jā́ṇa-,知っている,100.000%,9,9,0,jānā́-,,
802,jāṇa-,jā́ṇa-,知者,100.000%,15,15,0,jñānin-,,
803,jāṇa-,jā́ṇa-,乗り物,100.000%,6,6,0,yā́na-,,
804,jāṇia-,jā́ṇia-,知られた,85.714%,6,7,1,,,
805,jāṇeva-,jāṇéva-,知られるべき,100.000%,2,2,0,,,
806,jāma,jā́ma,〜ほどまでの,86.111%,31,36,5,yā́vant,,
807,jāra-,jā́ra-,情夫,100.000%,3,3,0,jārá-,,
808,jāla-,jā́la-,群れ、網,100.000%,15,15,0,jāla-,,
809,jāla-,jā́la-,光,100.000%,4,4,0,jvāla-,,
810,jālālīvia-,jālālī́via-,炎に包まれた,100.000%,2,2,0,,,
811,jālāvali-,jālā́vali-,光り輝く顔をもつ,100.000%,2,2,0,,,
812,jāva,jā́va,〜ほどまでの,88.235%,15,17,2,yā́vant,,
813,jāvihĩ,jā́vihĩ,〜ほどまでの,98.182%,54,55,1,,,
814,jāsu,jā́su,関係代名詞属格,100.000%,6,6,0,yásya-,,
815,jāhã,jā́hã,〜の者たちの,100.000%,2,2,0,yéṣām,,
816,jā-,jā́-,行く,100.000%,11,11,0,yā́-,,
817,jianta-,jiánta- / jiantá-,生きつつある,40.000%,2,5,,jī́vant-,,
818,jiapoma-,jiapóma-,ジタパドマー,100.000%,2,2,0,jitapadmā-,,
819,jia-,jía-,打ち負かされた,100.000%,4,4,0,jitá-,,
820,jia-,jía-,生きる,100.000%,2,2,0,jī́va-,,
821,jijja-,jíjja-,打ち負かされる,100.000%,2,2,0,,,
822,jiṇavara-,jiṇavára-,最上のジナ,63.636%,7,11,0,*jinavara-,,
823,jiṇavarinda-,jiṇavárinda-,最上のジナの主,60.000%,3,5,2,*jinavarendra-,,
824,jiṇa-,jíṇa-,ジナ,75.000%,6,8,2,jina-,,
825,jiṇāgama-,jiṇāgáma-,ジナのアーガマ,100.000%,2,2,0,*jināgama-,,
826,jiṇālaa-,jiṇā́laa-,ジナの居所,87.500%,7,8,1,jinālaya-,,
827,jiṇinda-,jiṇínda-,ジナの主,75.000%,9,12,2,jinindra-,,
828,jiṇesara-,jiṇésara- / jiṇesára-,ジナの主,37.500%,3,8,,jineśvara-,,
829,jiveva-,jivéva-,生きられるべき,100.000%,2,2,0,,,
830,jiha,jíha,〜のように,94.118%,16,17,1,,,
831,jīva-,jī́va-,生命,100.000%,6,6,0,jīvá-,,
832,jīviāsa-,jīviā́sa-,生きる望み,66.667%,2,3,1,jīvitāśā-,,
833,jīha-,jī́ha-,舌,100.000%,4,4,0,jihvā́-,,
834,juala-,juála-,若さ,100.000%,9,9,0,yugala-,,
835,jua-,júa-,付けられた,80.000%,4,5,1,yuta-,,
836,jujja-,jújja- / jujjá-,結ぶ,50.000%,1,2,,,,
837,jujjhanta-,jujjantá-,戦いつつある,100.000%,2,2,0,yúdhyant-,,
838,jujjha-,jújjha-,戦う,100.000%,3,3,0,yúdhya-,,
839,jujjhia-,jújjhia-,繋がれた,100.000%,5,5,0,,,
840,jujjhu-,jújjhu-,戦い,100.000%,11,11,0,yuddhá-,,
841,jujjheva-,jujjhéva-,戦われるべき,66.667%,2,3,0,,,
842,jutta-,jútta-,結ばれた,78.571%,11,14,3,yuktá-,,
843,jutti-,jútti- / juttí-,方便,50.000%,1,2,,yukti-,,
844,juvaī-,juváī- / juvaī́-,少女,50.000%,1,2,,yuvatī-,,
845,juvala- / juala-,juvála-,二つ,100.000%,5,5,0,yugala-,,
846,juvāṇa-,juvā́ṇa-,若い,100.000%,2,2,0,yúvan-,,
847,jūravaṇa-,jūraváṇa-,乾かすこと,100.000%,2,2,0,,,
848,jūrāvaṇa-,jūrā́vaṇa-,迫害者,100.000%,4,4,0,,,
849,jūha-,jū́ha-,集団,83.333%,5,6,1,yūthá-,,
850,jeṇa,jéṇa,〜によって,100.000%,7,7,0,yéna,,
851,jettahi,jéttahi,〜のところで,100.000%,12,12,0,,,
852,jetthu,jétthu,〜のところで,94.737%,18,19,1,yátra,,
853,jema,jéma,〜のように,76.316%,29,38,9,,,
854,jeva,jéva,〜のように,89.474%,17,19,2,,,
855,jeha-,jéha-,〜のような,75.000%,3,4,1,yādṛ́śa-,,
856,jehĩ,jéhĩ,〜の者どもによって,100.000%,4,4,0,yébyas,,
857,joanta-,joánta-,見つつある,100.000%,2,2,0,,,
858,joia-,jóia-,見られた,100.000%,4,4,0,,,
859,joiṅgaṇa-,joíṅgaṇa- / joiṅgáṇa-,蛍,50.000%,1,2,,,,
860,joivi,jóivi,見てから,100.000%,2,2,0,,,
861,jokkāria-,jokkā́ria-,うち勝たれた,100.000%,2,2,0,,,
862,jogga-,joggá-,有益な,83.333%,5,6,0,yógya-,,
863,jotta-,jótta-,縄,66.667%,2,3,1,yóktra-,,
864,jovvaṇa-,jovváṇa-,若さ,100.000%,9,9,0,yauvana-,,
865,joha-,jóha-,戦士,87.500%,7,8,1,yodhá-,,
866,jhaṅkāria-,jhaṅkā́ria-,花を摘むこと,100.000%,2,2,0,,,
867,jhaḍakka-,jháḍakka-,突進,100.000%,3,3,0,,,
868,jhaḍa-,jháḍa-,一撃,100.000%,2,2,0,,,
869,jhāṇa-,jhā́ṇa-,考え、思考,100.000%,4,4,0,dhyāna-,,
870,jhuṇijja-,jhúṇijja- / jhuṇíjja-,考えられる,50.000%,1,2,,,,
871,jhuṇi-,jhúṇi-,音,100.000%,2,2,0,dhvaní-,,
872,jhumvira-,jhúmvira- / jhumvíra-,首飾り,50.000%,1,2,,,,
873,ṭalia-,ṭalía-,動いた,100.000%,2,2,0,,,
874,ṭāla-,ṭā́la-,動かす,100.000%,2,2,0,,,
875,ṭhavia-,ṭhávia-,立たされた,100.000%,2,2,0,,,
876,ṭhia-,ṭhía-,立っている,100.000%,2,2,0,sthitá-,,
877,ḍamvara-,ḍámvara- / ḍamvára-,熱,50.000%,2,4,,,,
878,ḍara-,ḍára-,危険,100.000%,4,4,0,dara-,,
879,ḍaria-,ḍária-,怖させられた,66.667%,2,3,0,,,
880,ḍasiāhara-,ḍasiāhára-,唇を噛むこと,100.000%,3,3,0,,,
881,ḍahaṇa-,ḍáhaṇa-,燃やすこと,100.000%,2,2,0,dahana-,,
882,ḍāmaria-,ḍāmária-,反逆者,100.000%,2,2,0,,,
883,ḍāla-,ḍā́la-,枝,100.000%,7,7,0,ḍāla-,,
884,ḍāha-,ḍā́ha-,燃えること,100.000%,3,3,0,dāha-,,
885,ḍollia-,ḍóllia-,揺らされた,66.667%,2,3,1,,,
886,ḍhaḍḍhasa-,ḍhaḍḍhása-,忍耐,100.000%,3,3,0,,,
887,ḍhukkanta-,ḍhukkánta-,近づきつつある,100.000%,2,2,0,*ḍhaukant-,,
888,ḍhukkamāṇa-,ḍhukkámāṇa- / ḍhukkamā́ṇa-,近づきつつある,50.000%,1,2,,ḍhaukamāna-,,
889,ḍhukka-,ḍhúkka-,近づく,90.000%,9,10,1,ḍhauka-,,
890,ḍhukka-,ḍhúkka-,達した,91.667%,22,24,2,,,
891,ḍhukkia-,ḍhúkkia- / ḍhukkía-,近づいた,50.000%,1,2,,,,
892,ḍhoa-,ḍhóa-,運ぶ,100.000%,4,4,0,ḍhaukaya-,,
893,ḍhoia-,ḍhóia-,近くに持ってこられた,80.000%,4,5,1,ḍhaukita-,,
894,ṇaaṇa-,ṇáaṇa-,目,91.176%,62,68,6,nayana-,,
895,ṇaaṇāṇandaṇa-,ṇaaṇāṇándaṇa-,目への喜び,60.000%,12,20,8,nayanānandana-,,
896,ṇaaṇāṇanda-,ṇaaṇāṇánda- / ṇaaṇāṇandá-,目への喜び,50.000%,4,8,,nayanānanda-,,
897,ṇaaṇia-,ṇáaṇia-,目をもつ,100.000%,5,5,0,,,
898,ṇaara-,ṇaara-,街,57.692%,15,26,6,nágara-,,
899,ṇakkhatta-,ṇakkhátta-,星宿,66.667%,2,3,1,nákṣatra-,,
900,ṇaccanta-,ṇaccánta-,踊りつつある,66.667%,2,3,1,nṛ́tyant-,,
901,ṇaccia-,ṇáccia- / ṇaccía-,踊られた,50.000%,1,2,,nartita-,,
902,ṇaṭṭha-,ṇáṭṭha-,滅ぼされた,75.000%,3,4,1,naṣṭá-,,
903,ṇatthi,ṇátthi,いない,100.000%,4,4,0,,,
904,ṇadda-,ṇádda-,言葉,100.000%,2,2,0,nādá-,,
905,ṇandaṇavaṇa-,ṇandaṇaváṇa-,ナンダナの森,100.000%,5,5,0,nandanavana-,,
906,ṇandaṇa-,ṇandáṇa-,息子,49.351%,38,77,3,nandana-,,
907,ṇandaṇa-,ṇándaṇa-,ナンダナ王,66.667%,2,3,1,nandana-,,
908,ṇanda-,ṇandá-,喜ぶ,100.000%,2,2,0,nánda-,,
909,ṇama-,ṇáma- / ṇamá-,敬礼する,50.000%,1,2,,náma-,,
910,ṇamia-,ṇámia- / ṇamía-,敬礼された,50.000%,1,2,,namita-,,
911,ṇamokkāra-,ṇamokkā́ra-,敬礼,100.000%,2,2,0,namaskārá-,,
912,ṇaravara-,ṇaravára-,王,66.667%,20,30,3,naravara-,,
913,ṇaravai-,ṇaravái-,王,83.333%,5,6,0,narapati-,,
914,ṇara-,ṇára-,人,95.349%,41,43,2,nára-,,
915,ṇarāhiva-,ṇarāhivá-,王,76.471%,13,17,0,narādhipa-,,
916,ṇarinda-,ṇarinda-,王,69.697%,23,33,6,narendra-,,
917,ṇaresara-,ṇaresára-,王,62.500%,5,8,1,nareśvara-,,
918,ṇalakuvvara-,ṇalakuvvára-,ナラクーバラ,66.667%,2,3,1,nalakūbara-,,
919,ṇala-,ṇála-,ナラ王,100.000%,12,12,0,nala-,,
920,ṇavara,ṇávara,単なる,57.143%,4,7,3,,,
921,ṇava-,ṇáva-,若い、新しい,66.667%,2,3,1,náva-,,
922,ṇahaara-,ṇahaára-,空をいく,100.000%,2,2,0,nabhaścara-,,
923,ṇahaala-,ṇahaála-,天蓋,100.000%,5,5,0,nabhastala-,,
924,ṇahaṅgaṇa-,ṇahaṅgáṇa-,大空,75.000%,9,12,0,nabhoṅgaṇa-,,
925,ṇahara-,ṇáhara-,爪,75.000%,3,4,1,nakhará-,,
926,ṇaha-,ṇáha-,雲,100.000%,2,2,0,nábhas-,,
927,ṇaha-,ṇahá-,爪,100.000%,2,2,0,nakhá-,,
928,ṇāa-,ṇā́a-,象、蛇、ナーガ草,100.000%,8,8,0,nāgá-,,
929,ṇāa-,ṇā́a-,知られた,100.000%,6,6,0,jñātá-,,
930,ṇāa-,ṇā́a-,音,87.500%,7,8,1,nādá-,,
931,ṇāi,ṇā́i,あたかも,100.000%,3,3,0,,,
932,ṇāḍaa-,ṇā́ḍaa-,舞踊,100.000%,2,2,0,nāṭaka-,,
933,ṇāṇa-,ṇā́ṇa-,知識,100.000%,14,14,0,jñāna-,,
934,ṇāṇāviha-,ṇāṇāvíha-,多種多様な,100.000%,3,3,0,nānāvidhā-,,
935,ṇāṇuppatti-,ṇāṇuppátti-,知識の獲得,66.667%,2,3,1,,,
936,ṇāma-,ṇā́ma-,名前,100.000%,40,40,0,nā́man-,,
937,ṇāma-,ṇāmá-,名前,100.000%,2,2,0,nā́man-,,
938,ṇāraa-,ṇā́raa-,ナーラダ,100.000%,7,7,0,nā́rada- / nāradá-,,
939,ṇārāaṇa-,ṇārāáṇa-,ナーラーヤナ,55.000%,11,20,1,nārāyaṇá-,,
940,ṇārāa-,ṇārā́a-,矢,100.000%,4,4,0,nārāca-,,
941,ṇāri-,ṇā́ri-,女,100.000%,7,7,0,nā́rī-,,
942,ṇāla-,ṇā́la-,茎,100.000%,4,4,0,nāla-,,
943,ṇāvai,ṇā́vai,あたかも,85.714%,12,14,2,,,
944,ṇāsaṇa-,ṇā́saṇa-,破壊,66.667%,2,3,1,nāśana-,,
945,ṇāsanta-,ṇāsánta-,滅ぼしつつある,75.000%,3,4,1,nāśayant-,,
946,ṇāsa-,ṇā́sa-,逃げる、消える,75.000%,6,8,2,nāśáya-,,
947,ṇāsa-,ṇā́sa-,逃げること、消えること,85.714%,6,7,1,nāśa-,,
948,ṇāsia-,ṇā́sia- / ṇāsía-,滅ぼされた,50.000%,1,2,,nāśita-,,
949,ṇāha-,ṇā́ha-,支配者,93.750%,15,16,1,nāthá-,,
950,ṇiaccha-,ṇiáccha-,見る,100.000%,3,3,0,nirīkṣa-,,
951,ṇiacchia-,ṇiácchia- / ṇiacchía-,見られた,50.000%,3,6,,nirīkṣita-,,
952,ṇiatta-,ṇiátta-,満たされた,100.000%,3,3,0,nivṛtta-,,
953,ṇiattha-,ṇiáttha-,着られた,100.000%,4,4,0,,,
954,ṇianta-,ṇiánta-,見つつある,100.000%,3,3,0,,,
955,ṇiara-,ṇiára-,軍団,88.889%,8,9,1,nikara-,,
956,ṇialia-,ṇíalia- / ṇialía-,流れ落ちた,50.000%,1,2,,,,
957,ṇia-,ṇía- / ṇiá-,自分の,50.000%,1,2,0,nijá-,,
958,ṇia-,ṇía-,連れられた,100.000%,7,7,0,nītá-,,
959,ṇiuṇa-,ṇiúṇa- / ṇiuṇá-,賢い,50.000%,1,2,,nipuṇa-,,
960,ṇiutta-,ṇiútta-,繋がれた,90.000%,9,10,1,niyukta-,,
961,ṇieppiṇu,ṇiéppiṇu,見てから,100.000%,2,2,0,,,
962,ṇievi,ṇiévi,見てから,75.000%,3,4,1,,,
963,ṇioa-,ṇióa-,命令,100.000%,3,3,0,niyoga-,,
964,ṇikāa-,ṇikā́a-,集団,100.000%,3,3,0,nikāya-,,
965,ṇikkaruṇa-,ṇikkáruṇa-,容赦ない,100.000%,2,2,0,,,
966,ṇikkala-,ṇikkála-,体のない,100.000%,2,2,0,niṣkala-,,
967,ṇikkhanta-,ṇikkhánta-,外に出た,60.000%,3,5,2,niṣkānta-,,
968,ṇigoa-,ṇigóa-,ニゴーダ,100.000%,2,2,0,,,
969,ṇiggaa-,ṇiggáa-,出てきた,85.714%,6,7,1,nirgata-,,
970,ṇiggama-,ṇiggáma-,出てくること,100.000%,2,2,0,nirgama-,,
971,ṇiggaha-,ṇíggaha-,抑制,100.000%,2,2,0,nigraha-,,
972,ṇigghosa-,ṇigghosa-,音,75.000%,6,8,2,nirghoṣa-,,
973,ṇiccinta-,ṇiccintá-,考えなしの,100.000%,3,3,0,niścinta-,,
974,ṇicceaṇa-,ṇiccéaṇa-,理性がない,100.000%,5,5,0,niścetana-,,
975,ṇijjharaṇa-,ṇijjháraṇa-,滅亡,100.000%,2,2,0,,,
976,ṇijjhara-,ṇijjhára-,滝,100.000%,3,3,0,nirjhara-,,
977,ṇijjhāia-,ṇijjhā́ia-,思慮を得た,100.000%,3,3,0,,,
978,ṇiṭṭhavia-,ṇiṭṭhávia-,死んだ,100.000%,2,2,0,,,
979,ṇiṭṭhura-,ṇiṭṭhúra- / ṇiṭṭhurá-,厳しい,50.000%,3,6,,niṣṭhura-,,
980,ṇiḍḍāla-,ṇiḍḍā́la-,額,100.000%,2,2,0,,,
981,ṇiṇadda-,ṇiṇádda-,声,100.000%,3,3,0,nināda-,,
982,ṇiṇṇāsia-,ṇiṇṇā́sia-,滅ぼされた,66.667%,2,3,1,,,
983,ṇiddalaṇa-,ṇiddálaṇa- / ṇiddaláṇa-,踏み鳴らすこと,100.000%,2,2,0,,,
984,ṇiddalanta-,ṇiddalánta-,踏み鳴らしつつある,100.000%,2,2,0,,,
985,ṇinda-,ṇindá-,責める,75.000%,3,4,0,nínda-,,
986,ṇindivi,ṇindívi,責めてから,100.000%,2,2,0,,,
987,ṇippasara-,ṇippasára-,前進のない,100.000%,2,2,0,,,
988,ṇippaha-,ṇippáha-,聞くこと,100.000%,3,3,0,,,
989,ṇibbhacchia-,ṇibbhacchía-,脅かされた,100.000%,3,3,0,nirbhartsita-,,
990,ṇibbhara-,ṇibbhára-,満ちた,100.000%,7,7,0,nirbhara-,,
991,ṇimitta-,ṇimítta-,原因、印,100.000%,2,2,0,nimitta-,,
992,ṇimmala-,ṇimmála-,純粋な,100.000%,13,13,0,nirmala-,,
993,ṇimmahaṇa-,ṇimmáhaṇa- / ṇimmaháṇa-,破壊,50.000%,1,2,,nirmathana-,,
994,ṇimmia-,ṇimmía-,作られた,100.000%,2,2,0,nírmita-,,
995,ṇiraṅkusa-,ṇiráṅkusa-,抑制のない,75.000%,3,4,1,niraṅkuśa-,,
996,ṇirattha-,ṇiráttha-,武器のない,100.000%,2,2,0,nirastra-,,
997,ṇirattha-,ṇiráttha-,意味のない,100.000%,4,4,0,nirartha-,,
998,ṇirantara-,ṇirántara- / ṇirantára-,密着した,50.000%,9,18,,nirantara-,,
999,ṇiravasesa-,ṇiravasésa-,全ての,87.500%,7,8,1,niravaśeṣa-,,
1000,ṇirāriu,ṇirā́riu,絶対に,100.000%,9,9,0,,,
1001,ṇirikkhia-,ṇiríkkhia-,見られた,100.000%,2,2,0,,,
1002,ṇirutta-,ṇirútta-,確固とした,100.000%,10,10,0,,,
1003,ṇiruvama-,ṇiruváma-,比類なき,100.000%,2,2,0,nirupama-,,
1004,ṇilaa-,ṇílaa-,家,87.500%,7,8,1,nilaya-,,
1005,ṇillañchaṇa-,ṇilláñchaṇa-,行動,100.000%,2,2,0,,,
1006,ṇivaḍanta-,ṇiváḍanta- / ṇivaḍantá-,落ちつつある,50.000%,1,2,,nipatant-,,
1007,ṇivaddha-,ṇiváddha-,繋がれた,54.545%,6,11,5,nibaddha-,,
1008,ṇivandhaṇa-,ṇivandháṇa-,状態,87.500%,7,8,1,nibandhana-,,
1009,ṇivandha-,ṇivándha-,縛ること,100.000%,3,3,0,nibandha-,,
1010,ṇivasanta-,ṇivásanta- / ṇivasánta-,住みつつある,50.000%,1,2,,nivasant-,,
1011,ṇivaseppiṇu,ṇivaséppiṇu,住んでから,100.000%,2,2,0,,,
1012,ṇivaha-,ṇiváha-,群れ,100.000%,6,6,0,nivaha-,,
1013,ṇiva-,ṇíva-,王,75.000%,6,8,2,nṛpa-,,
1014,ṇivāṇa-,ṇivā́ṇa-  / ṇivāṇá-,休息,50.000%,1,2,,,,
1015,ṇivāraṇa-,ṇivā́raṇa-,防ぐこと,66.667%,2,3,1,nivārana-,,
1016,ṇivāra-,ṇivā́ra-,止める、防ぐ,100.000%,3,3,0,nivāraya-,,
1017,ṇivāra-,ṇivā́ra-,止めること,100.000%,4,4,0,nivāra-,,
1018,ṇivāria-,ṇivā́ria-,妨げられた,100.000%,16,16,0,nivārita-,,
1019,ṇivāsaṇa-,ṇivā́saṇa-,すみか,100.000%,2,2,0,nivāsana-,,
1020,ṇivāsa-,ṇivā́sa-,すみか,100.000%,22,22,0,nivāsa-,,
1021,ṇivāsia-,ṇivā́sia- / ṇivāsía-,住まれた,50.000%,1,2,,,,
1022,ṇiviṭṭha-,ṇivíṭṭha-,座った,100.000%,15,15,0,níviṣṭa-,,
1023,ṇivisantara-,ṇivisántara- / ṇivisantára-,一瞬以内,50.000%,1,2,,,,
1024,ṇivisabbhantara-,ṇivisabbhántara- / ṇivisabbhantára-,一瞬,50.000%,1,2,,,,
1025,ṇivesa-,ṇivésa-,入ること、すみか,100.000%,4,4,0,niveśá-,,
1026,ṇivai-,ṇivái-,王,100.000%,2,2,0,nṛpati-,,
1027,ṇivvaḍa-,ṇivváḍa-,完成される,100.000%,2,2,0,niṣpata-,,
1028,ṇivvaḍia-,ṇivváḍia-,下に落ちてきた,100.000%,4,4,0,,,
1029,ṇivvaha-,ṇivváha-,行う,100.000%,2,2,0,nirvaha-,,
1030,ṇivvāṇa-,ṇivvā́ṇa-,涅槃,100.000%,2,2,0,nirvāṇa-,,
1031,ṇivvūḍha-,ṇivvū́ḍha-,捨てられた、行われた,100.000%,2,2,0,nivyūḍha-,,
1032,ṇisaṇṇa-,ṇisaṇṇá-,座っている,66.667%,4,6,0,niṣaṇṇá-,,
1033,ṇisāara-,ṇisā́ara-,羅刹,66.667%,4,6,2,niśācara-,,
1034,ṇisāma-,ṇisā́ma-,観察,100.000%,3,3,0,niśāma-,,
1035,ṇisiara-,ṇisiára-,生類,100.000%,6,6,0,niścara-,,
1036,ṇisiarinda-,ṇisiarínda-,生類の王,55.556%,5,9,1,,,
1037,ṇisi-,ṇísi-,夜,100.000%,5,5,0,niś-,,
1038,ṇisuṇeppiṇu,ṇisuṇéppiṇu,聞いてから,100.000%,2,2,0,,,
1039,ṇisumbhaṇa-,ṇisúmbhaṇa-,殺害,66.667%,2,3,1,niśumbhana-,,
1040,ṇisumbha-,ṇisúmbha- / ṇisumbhá-,殺害,50.000%,1,2,0,niśumbha-,,
1041,ṇihaṭṭha-,ṇiháṭṭha-,消耗された,75.000%,3,4,1,nighṛṣṭa-,,
1042,ṇiha-,ṇíha-,似ている,100.000%,3,3,0,nibha-,,
1043,ṇihāa-,ṇihā́a-,一撃,100.000%,7,7,0,nighāta-,,
1044,ṇihāa-,ṇihā́a-,集団,100.000%,18,18,0,,,
1045,ṇihāṇa-,ṇihā́ṇa-,財宝,90.000%,9,10,0,nidhā́na-,,
1046,ṇihālaṇa-,ṇihā́laṇa-,みること,100.000%,3,3,0,nibhālana-,,
1047,ṇihāla-,ṇihā́la-,見ることに関する,100.000%,5,5,0,,,
1048,ṇihālia-,ṇihā́lia-,見られた,100.000%,8,8,0,nibhālita-,,
1049,ṇihi-,ṇíhi-,宝,100.000%,5,5,0,nidhí-,,
1050,ṇīa-,ṇī́a-,模範的振る舞い,100.000%,2,2,0,nīti-,,
1051,ṇīra-,ṇī́ra-,水,100.000%,4,4,0,nīrá-,,
1052,ṇīlaṅgaṅgaa-,ṇīlaṅgaṅgáa-,ニーラとアンガとアンガダ,100.000%,3,3,0,,,
1053,ṇīla-,ṇī́la-,ニーラ,100.000%,4,4,0,nī́la-,,
1054,ṇīsaṅga-,ṇī́saṅga-,角のない,66.667%,2,3,1,niḥśṛṅga-,,
1055,ṇīsaṇa-,ṇī́saṇa-,ため息,100.000%,4,4,0,,,
1056,ṇīsandaṇa-,ṇīsándaṇa-,戦車のない,100.000%,2,2,0,,,
1057,ṇīsara-,ṇīsára-,出る,66.667%,2,3,1,niḥsara-,,
1058,ṇīsaria-,ṇīsária-,消えた,90.476%,19,21,0,,,
1059,ṇīsaṃdeha-,ṇīsáṃdeha- / ṇīsaṃdéha-,疑いない,50.000%,1,2,,niḥsaṃdeha-,,
1060,ṇīsāra-,ṇīsā́ra-,外に出す,100.000%,2,2,0,niḥsāraya-,,
1061,ṇīsāra-,ṇīsā́ra-,樹液のない,100.000%,2,2,0,niḥsāra-,,
1062,ṇīsāria-,ṇīsā́ria-,追放された,100.000%,5,5,0,niḥsārita-,,
1063,ṇīsāsa-,ṇīsā́sa-,ため息,100.000%,3,3,0,niḥśvāsa-,,
1064,ṇīsesa-,ṇīsésa- / ṇīsesá-,全て,50.000%,1,2,,niḥśeṣa-,,
1065,ṇeura-,ṇéura-,足環,100.000%,10,10,0,nūpura-,,
1066,ṇetta-,ṇettá-,目,100.000%,7,7,0,netrá-,,
1067,ṇeha-,ṇéha-,愛,100.000%,15,15,0,sneha-,,
1068,ṇe-,ṇé-,導く,100.000%,6,6,0,naya-,,
1069,taia-,táia-,第三の,83.333%,5,6,1,tṛtī́ya-,,
1070,tau,táu,あなたの,100.000%,6,6,0,táva,,
1071,takkhaṇa-,tákkhaṇa-,その刹那,60.000%,18,30,12,tatkṣaṇa-,,
1072,taṭṭha-,táṭṭha-,怖がった,90.000%,9,10,1,trasta-,,
1073,taḍaaḍia-,taḍaáḍia-,タラタラと音を立てた,100.000%,2,2,0,,,
1074,taḍataḍataḍanta-,taḍataḍatáḍanta- / taḍataḍataḍánta-,タラタラと音を立てる,50.000%,1,2,,,,
1075,taḍa-,táḍa-,岸,100.000%,3,3,0,taṭa-,,
1076,taṇaa-,táṇaa-,子,85.000%,17,20,3,tánaya-,,
1077,taṇa-,táṇa-,体,100.000%,23,23,0,tanú,,
